taxon          	nloci	f1loci	f2loci	nsites	npoly	poly
D_0_0	500	500	500	189500	88	0.0004644
C_0_0	500	500	500	189500	86	0.0004538
F_0_0	500	500	500	189500	89	0.0004697
J_0_0	500	500	500	189500	77	0.0004063
H_0_0	498	498	498	188742	73	0.0003868
G_0_0	500	500	500	189500	105	0.0005541
L_0_0	500	500	500	189500	79	0.0004169
K_0_0	500	500	500	189500	79	0.0004169
I_0_0	500	500	500	189500	79	0.0004169
A_0_0	500	500	500	189500	69	0.0003641
E_0_0	498	498	498	188742	83	0.0004398
B_0_0	500	500	500	189500	70	0.0003694

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
